Region,country,article_name,rev_id,article_quality,population
ASIA,Cambodia,Ho Non,773694865.0,Stub,16.0
ASIA,Cambodia,Ho Vann,773695304.0,Stub,16.0
ASIA,Cambodia,Hul Savorn,774100291.0,Stub,16.0
ASIA,Cambodia,Pol Hom,776153762.0,Stub,16.0
ASIA,Cambodia,Thong Khon,777665222.0,Stub,16.0
ASIA,Cambodia,Hor Namhong,777765537.0,C,16.0
ASIA,Cambodia,Keo Saphal (Siem Reap politician),778675539.0,Stub,16.0
ASIA,Cambodia,Keo Saphal (Takeo politician),778675542.0,Stub,16.0
ASIA,Cambodia,Khek Vandy,778806364.0,Stub,16.0
ASIA,Cambodia,Khun Haing,778825745.0,Stub,16.0
ASIA,Cambodia,Khy Taing Lim,778830534.0,Stub,16.0
ASIA,Cambodia,Kimsour Phirith,778947267.0,Stub,16.0
ASIA,Cambodia,Kuoch Ky,779440080.0,Stub,16.0
ASIA,Cambodia,Kuoy Bunroeun,779441002.0,Stub,16.0
ASIA,Cambodia,Chou Bun Eng,779541149.0,Start,16.0
ASIA,Cambodia,Ke Sovannaroth,779541334.0,Stub,16.0
ASIA,Cambodia,Norodom Rattana Devi,779541359.0,Stub,16.0
ASIA,Cambodia,Norodom Vichara,779541415.0,Stub,16.0
ASIA,Cambodia,Nin Saphon,779541481.0,Stub,16.0
ASIA,Cambodia,Tioulong Saumura,779541578.0,Start,16.0
ASIA,Cambodia,Som Kimsuor,779541650.0,Stub,16.0
ASIA,Cambodia,Suy Sem,780608915.0,Stub,16.0
ASIA,Cambodia,Sourn Serey Ratha,780691538.0,Stub,16.0
ASIA,Cambodia,Ly Son,782622853.0,Stub,16.0
ASIA,Cambodia,Ly Thuch,782622857.0,Stub,16.0
ASIA,Cambodia,List of heads of state of Cambodia,782894395.0,C,16.0
ASIA,Cambodia,Son Sann,783107330.0,C,16.0
ASIA,Cambodia,Mam Bun Neang,783142781.0,Stub,16.0
ASIA,Cambodia,Chan Sarun,783239117.0,Stub,16.0
ASIA,Cambodia,Mao Monyvann,783294124.0,Stub,16.0
ASIA,Cambodia,Men Sam An,784442393.0,Stub,16.0
ASIA,Cambodia,Mey Norn,784629286.0,Stub,16.0
ASIA,Cambodia,Sok An,784962640.0,C,16.0
ASIA,Cambodia,Yem Sambaur,786198076.0,Start,16.0
ASIA,Cambodia,Yim Sovann,786409843.0,C,16.0
ASIA,Cambodia,Ek Yi Oun,786826707.0,Stub,16.0
